,model,brand,price,sold_year,seller,km_driven,owner_type,fuel,gear,mileage,engine,power,torque,wheel_size,seats,_
0,2017Mahindra Scorpio S10 7 Seater,Mahindra,12.5 Lakh*,2017,Dealer,"1,10,000 kms",First Owner,Diesel,Manual,Mileage15.4 kmpl,Engine2179 CC,Max Power120 bhp,Torque280Nm@ 1800-2800rpm,Wheel SizeN/A,Seats7,
1,2017Mahindra Thar CRDe ABS,Mahindra,8.5 Lakh*,2017,Dealer,"20,000 kms",First Owner,Diesel,Manual,Mileage16.55 kmpl,Engine2498 CC,Max Power105 bhp,Torque247Nm@ 1800-2000rpm,Wheel SizeR16,Seats6,
2,2017Mahindra TUV 300 mHAWK100 T8,Mahindra,7.95 Lakh*,2017,Dealer,"59,749 kms",First Owner,Diesel,Manual,Mileage18.49 kmpl,Engine1493 CC,Max Power100 bhp,Torque240Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,
3,2018Mahindra Scorpio S3 9 Seater BSIV,Mahindra,9 Lakh*,2018,Dealer,"42,584 kms",First Owner,Diesel,Manual,Variant -  S3 9 Seater BSIV,Mileage15.4 kmpl,Engine2523 CC,Max Power75 bhp,Torque200Nm@ 1400-2200rpm,Wheel Size15,Seats7
4,2015Mahindra XUV500 W10 2WD,Mahindra,13 Lakh*,2015,Individual,"50,000 kms",First Owner,Diesel,Manual,Mileage16.0 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,
5,2011Mahindra Xylo E4 BS IV,Mahindra,3.5 Lakh*,2011,Dealer,"50,000 kms",First Owner,Diesel,Manual,Mileage14.0 kmpl,Engine2498 CC,Max Power112 bhp,Torque260 Nm at 1800-2200 rpm,Wheel SizeN/A,Seats7,
6,2017Mahindra Bolero 2011-2019 DI 4WD BSIII,Mahindra,7.15 Lakh*,2017,Individual,"1,00,000 kms",First Owner,Diesel,Manual,Mileage13.6 kmpl,Engine2523 CC,Max Power63 bhp,Torque180Nm@ 1440-1500rpm,Wheel SizeN/A,Seats8,
7,2018Mahindra Bolero 2011-2019 Special Edition,Mahindra,8.61 Lakh*,2018,Individual,"13,000 kms",First Owner,Diesel,Manual,Mileage15.96 kmpl,Engine2523 CC,Max Power62.1 bhp,Torque195Nm@ 1400-2200rpm,Wheel Size15,Seats7,
8,2019Mahindra Bolero Power Plus SLE,Mahindra,7.98 Lakh*,2019,Individual,"15,000 kms",First Owner,Diesel,Manual,Variant -  SLE,Mileage16.5 kmpl,Engine1493 CC,Max Power70 bhp,Torque195Nm@ 1400-2200rpm,Wheel Size15,Seats7
9,2018Mahindra Bolero Power Plus ZLX,Mahindra,8.5 Lakh*,2018,Individual,"40,000 kms",First Owner,Diesel,Manual,Mileage16.5 kmpl,Engine1493 CC,Max Power70 bhp,Torque195Nm@ 1400-2200rpm,Wheel Size15,Seats7,
10,2014Mahindra Bolero 2011-2019 SLX,Mahindra,5.5 Lakh*,2014,Individual,"80,000 kms",First Owner,Diesel,Manual,Variant -  SLX,Mileage15.96 kmpl,Engine2523 CC,Max Power62.1 bhp,Torque195Nm@ 1400-2200rpm,Wheel Size15,Seats7
11,2016Mahindra TUV 300 mHAWK100 T8,Mahindra,7.25 Lakh*,2016,Individual,"30,000 kms",First Owner,Diesel,Manual,Mileage18.49 kmpl,Engine1493 CC,Max Power100 bhp,Torque240Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,
12,2013Mahindra Bolero 2011-2019 SLX 2WD BSIII,Mahindra,6 Lakh*,2013,Individual,"60,000 kms",First Owner,Diesel,Manual,Mileage15.96 kmpl,Engine2523 CC,Max Power62.1 bhp,Torque195Nm@ 1400-2200rpm,Wheel Size15,Seats7,
13,2013Mahindra XUV500 W8 2WD,Mahindra,6.5 Lakh*,2013,Individual,"1,20,000 kms",Third Owner,Diesel,Manual,Mileage15.1 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,
14,2014Mahindra Scorpio 1.99 S8,Mahindra,9 Lakh*,2014,Individual,"1,60,000 kms",First Owner,Diesel,Manual,Mileage15.4 kmpl,Engine1997 CC,Max Power120 bhp,Torque280Nm@ 1800-2800rpm,Wheel SizeN/A,Seats7,
15,2016Mahindra Bolero SLX 2WD,Mahindra,3.1 Lakh*,2016,Individual,"90,000 kms",Second Owner,Diesel,Manual,Mileage13.6 kmpl,Engine2523 CC,Max Power63 bhp,Torque180 Nm at 1440-1500rpm,Wheel SizeN/A,Seats7,
16,2015Mahindra Xylo H4,Mahindra,3.75 Lakh*,2015,Individual,"90,000 kms",First Owner,Diesel,Manual,Mileage14.02 kmpl,Engine2179 CC,Max Power118.3 bhp,Torque280Nm@ 2400-2800rpm,Wheel Size15,Seats7,
17,2015Mahindra XUV500 W10 2WD,Mahindra,13 Lakh*,2015,Individual,"50,000 kms",First Owner,Diesel,Manual,Mileage16.0 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,
18,2011Mahindra Bolero SLX 2WD,Mahindra,1.4 Lakh*,2011,Individual,"90,000 kms",Third Owner,Diesel,Manual,Mileage13.6 kmpl,Engine2523 CC,Max Power63 bhp,Torque180 Nm at 1440-1500rpm,Wheel SizeN/A,Seats7,
19,2017Mahindra TUV 300 T8,Mahindra,8.11 Lakh*,2017,Individual,"35,000 kms",First Owner,Diesel,Manual,Mileage18.49 kmpl,Engine1493 CC,Max Power100 bhp,Torque240Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,
20,2017Mahindra Thar CRDe,Mahindra,8.75 Lakh*,2017,Dealer,"26,200 kms",First Owner,Diesel,Manual,Mileage16.55 kmpl,Engine2498 CC,Max Power105 bhp,Torque247Nm@ 1800-2000rpm,Wheel Size16,Seats6,
21,2016Mahindra Bolero Power Plus ZLX,Mahindra,7.5 Lakh*,2016,Individual,"70,000 kms",First Owner,Diesel,Manual,Mileage16.5 kmpl,Engine1493 CC,Max Power70 bhp,Torque195Nm@ 1400-2200rpm,Wheel Size15,Seats7,
22,2013Mahindra Bolero 2011-2019 SLX 2WD BSIII,Mahindra,5.1 Lakh*,2013,Individual,"1,05,000 kms",Second Owner,Diesel,Manual,Mileage15.96 kmpl,Engine2523 CC,Max Power62.1 bhp,Torque195Nm@ 1400-2200rpm,Wheel Size15,Seats7,
23,2019Mahindra TUV 300 mHAWK100 T8 AMT,Mahindra,9.3 Lakh*,2019,Individual,"20,000 kms",First Owner,Diesel,Automatic,Mileage18.49 kmpl,Engine1493 CC,Max Power100 bhp,Torque240Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,
24,2012Mahindra XUV500 W8 2WD,Mahindra,7 Lakh*,2012,Individual,"1,71,000 kms",First Owner,Diesel,Manual,Mileage15.1 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,
25,2013Mahindra XUV500 W8 4WD,Mahindra,5.5 Lakh*,2013,Individual,"1,20,000 kms",Second Owner,Diesel,Manual,Mileage15.1 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,
26,2015Mahindra XUV500 W10 2WD,Mahindra,10.5 Lakh*,2015,Individual,"68,000 kms",Second Owner,Diesel,Manual,Mileage16.0 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,
27,2008Mahindra Scorpio M2DI,Mahindra,3.5 Lakh*,2008,Individual,"70,000 kms",Second Owner,Diesel,Manual,Mileage13.5 kmpl,Engine2179 CC,Max Power115 bhp,Torque277.5Nm@ 1700-2200rpm,Wheel SizeN/A,Seats5,
28,2018Mahindra XUV500 ,Mahindra,13.25 Lakh*,2018,Dealer,"55,000 kms",First Owner,Diesel,Manual,Variant - ,Mileage0.0 kmpl,Engine2198 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,,
29,2008Mahindra Scorpio VLS 2.2 mHawk,Mahindra,2.85 Lakh*,2008,Individual,"1,20,000 kms",Second Owner,Diesel,Manual,Mileage12.05 kmpl,Engine2179 CC,Max Power120 bhp,Torque290Nm@ 1800-2800rpm,Wheel SizeN/A,Seats7,
30,2013Mahindra Bolero 2011-2019 ZLX BSIII,Mahindra,4.7 Lakh*,2013,Individual,"1,20,000 kms",Second Owner,Diesel,Manual,Mileage15.96 kmpl,Engine2523 CC,Max Power62.1 bhp,Torque195Nm@ 1400-2200rpm,Wheel Size15,Seats7,
31,2012Mahindra Bolero 2011-2019 DI 4WD NON AC,Mahindra,5.2 Lakh*,2012,Individual,"80,000 kms",First Owner,Diesel,Manual,Mileage13.6 kmpl,Engine2523 CC,Max Power63 bhp,Torque180Nm@ 1440-1500rpm,Wheel SizeN/A,Seats8,
32,2007Mahindra Bolero DI DX 7 Seater,Mahindra,2.45 Lakh*,2007,Individual,"1,70,000 kms",Third Owner,Diesel,Manual,Mileage13.6 kmpl,Engine2523 CC,Max Power63 bhp,Torque180 Nm at 1440-1500rpm,Wheel SizeN/A,Seats7,
33,2012Mahindra Scorpio VLX 2WD AIRBAG BSIV,Mahindra,6.5 Lakh*,2012,Individual,"1,40,000 kms",Third Owner,Diesel,Manual,Mileage12.05 kmpl,Engine2179 CC,Max Power120 bhp,Torque290Nm@ 1800-2800rpm,Wheel SizeN/A,Seats8,
34,2006Mahindra Scorpio 2.6 CRDe,Mahindra,2.7 Lakh*,2006,Individual,"1,20,000 kms",Fourth & Above Owner,Diesel,Manual,Variant -  2.6 CRDe,Mileage10.5 kmpl,Engine2179 CC,Max Power120 bhp,Torque290Nm@ 1800-2800rpm,Wheel SizeN/A,Seats8
35,2014Mahindra Scorpio VLX 4WD AIRBAG AT BSIV,Mahindra,6.5 Lakh*,2014,Individual,"1,20,000 kms",First Owner,Diesel,Automatic,Mileage11.79 kmpl,Engine2179 CC,Max Power120 bhp,Torque290Nm@ 1800-2800rpm,Wheel SizeN/A,Seats8,
36,2015Mahindra Bolero Power Plus Plus Non AC BSIV PS,Mahindra,6 Lakh*,2015,Individual,"60,000 kms",Second Owner,Diesel,Manual,Mileage15.96 kmpl,Engine2523 CC,Max Power63 bhp,Torque180Nm@ 1440-1500rpm,Wheel Size16,Seats9,
37,2013Mahindra Scorpio M2DI,Mahindra,4.9 Lakh*,2013,Individual,"1,20,000 kms",Second Owner,Diesel,Manual,Mileage13.5 kmpl,Engine2179 CC,Max Power115 bhp,Torque277.5Nm@ 1700-2200rpm,Wheel SizeN/A,Seats5,
38,2007Mahindra Bolero SLE,Mahindra,2.4 Lakh*,2007,Individual,"1,20,000 kms",First Owner,Diesel,Manual,Mileage13.6 kmpl,Engine2523 CC,Max Power63 bhp,Torque180 Nm at 1440-1500rpm,Wheel SizeN/A,Seats7,
39,2012Mahindra Scorpio SLE BSIV,Mahindra,5 Lakh*,2012,Individual,"1,20,000 kms",First Owner,Diesel,Manual,Variant -  SLE BSIV,Mileage12.05 kmpl,Engine2179 CC,Max Power120 bhp,Torque290Nm@ 1800-2800rpm,Wheel SizeN/A,Seats8
40,2010Mahindra Verito 1.5 D2 BSIV,Mahindra,2.25 Lakh*,2010,Individual,"1,20,000 kms",Second Owner,Diesel,Manual,Mileage21.0 kmpl,Engine1461 CC,Max Power64.1 bhp,Torque160Nm@ 2000rpm,Wheel SizeN/A,Seats5,
41,2005Mahindra Bolero DI DX 8 Seater,Mahindra,2 Lakh*,2005,Individual,"1,20,000 kms",Second Owner,Diesel,Manual,Mileage13.6 kmpl,Engine2523 CC,Max Power63 bhp,Torque180 Nm at 1440-1500rpm,Wheel SizeN/A,Seats8,
42,2008Mahindra Scorpio SLX 2.6 Turbo 7 Str,Mahindra,2.65 Lakh*,2008,Individual,"1,20,000 kms",Third Owner,Diesel,Manual,Variant -  SLX 2.6 Turbo 7 Str,Mileage10.5 kmpl,Engine2609 CC,Max Power120 bhp,Torque290Nm@ 1800-2800rpm,Wheel SizeN/A,Seats7
43,2008Mahindra Scorpio VLS 2.2 mHawk,Mahindra,3.5 Lakh*,2008,Individual,"90,000 kms",Third Owner,Diesel,Manual,Mileage12.05 kmpl,Engine2179 CC,Max Power120 bhp,Torque290Nm@ 1800-2800rpm,Wheel SizeN/A,Seats7,
44,2014Mahindra Scorpio 1.99 S6 Plus,Mahindra,6.9 Lakh*,2014,Individual,"82,000 kms",Second Owner,Diesel,Manual,Mileage15.4 kmpl,Engine1997 CC,Max Power120 bhp,Torque280Nm@ 1800-2800rpm,Wheel Size17,Seats7,
45,2017Tata Hexa XT 4X4,Tata,12.5 Lakh*,2017,Dealer,"37,482 kms",First Owner,Diesel,Manual,Mileage17.6 kmpl,Engine2179 CC,Max Power153.86 bhp,Torque400Nm@ 1750-2500rpm,Wheel SizeN/A,Seats7,
46,2017Tata Tiago 1.05 Revotorq XE Option,Tata,3.8 Lakh*,2017,Dealer,"45,000 kms",First Owner,Diesel,Manual,Mileage27.28 kmpl,Engine1047 CC,Max Power69 bhp,Torque140Nm@ 1800-3000rpm,Wheel Size13,Seats5,
47,2018Tata Bolt Quadrajet XE,Tata,4.9 Lakh*,2018,Dealer,"59,727 kms",First Owner,Diesel,Manual,Mileage22.95 kmpl,Engine1248 CC,Max Power74 bhp,Torque190Nm@ 1750-3000rpm,Wheel Size14,Seats5,
48,2018Tata Tigor 1.2 Revotron XZ Option,Tata,5 Lakh*,2018,Individual,"25,000 kms",First Owner,Petrol,Manual,Mileage20.3 kmpl,Engine1199 CC,Max Power84 bhp,Torque114Nm@ 3500rpm,Wheel SizeN/A,Seats5,
49,2018Tata Nexon 1.5 Revotorq XZ Plus,Tata,9.5 Lakh*,2018,Individual,"25,000 kms",First Owner,Diesel,Manual,Variant -  1.5 Revotorq XZ Plus,Mileage21.5 kmpl,Engine1497 CC,Max Power108.5 bhp,Torque260Nm@ 1500-2750rpm,Wheel SizeN/A,Seats5
50,2009Tata Indigo LX,Tata,1.1 Lakh*,2009,Individual,"40,000 kms",First Owner,Diesel,Manual,Variant -  LX,Mileage16.1 kmpl,Engine1405 CC,Max Power70 bhp,"Torque13.5@ 2,500(kgm@ rpm)",Wheel SizeN/A,Seats5
51,2010Tata Manza Aura Safire,Tata,1.1 Lakh*,2010,Individual,"40,000 kms",First Owner,Petrol,Manual,Mileage15.0 kmpl,Engine1368 CC,Max Power90 bhp,Torque116Nm@ 4750rpm,Wheel Size5.5J x 15,Seats5,
52,2018Tata Nexon 1.5 Revotorq XZA Plus DualTone,Tata,8.65 Lakh*,2018,Individual,"60,000 kms",First Owner,Diesel,Automatic,Mileage21.5 kmpl,Engine1497 CC,Max Power108.5 bhp,Torque260Nm@ 1500-2750rpm,Wheel SizeN/A,Seats5,
53,2009Tata Xenon XT EX 4X2,Tata,2.75 Lakh*,2009,Individual,"1,20,000 kms",First Owner,Diesel,Manual,Mileage13.49 kmpl,Engine2179 CC,Max Power138.03 bhp,Torque320Nm@ 1750-2700rpm,Wheel SizeN/A,Seats5,
54,2017Tata Tiago 1.05 Revotorq XT,Tata,4 Lakh*,2017,Individual,"50,000 kms",First Owner,Diesel,Manual,Mileage27.28 kmpl,Engine1047 CC,Max Power69 bhp,Torque140Nm@ 1800-3000rpm,Wheel Size14,Seats5,
55,2010Tata New Safari DICOR 2.2 VX 4x2,Tata,2.3 Lakh*,2010,Individual,"90,000 kms",Second Owner,Diesel,Manual,Mileage13.93 kmpl,Engine2179 CC,Max Power138 bhp,Torque320Nm@ 1700-2700rpm,Wheel Size16 x 6.5 J,Seats7,
56,2015Tata Safari Storme EX,Tata,6.95 Lakh*,2015,Individual,"60,000 kms",Third Owner,Diesel,Manual,Mileage14.0 kmpl,Engine2179 CC,Max Power138.1 bhp,Torque320Nm@ 1700-2700rpm,Wheel Size16,Seats7,
57,2018Tata Zest Quadrajet 1.3 75PS XMS,Tata,4.75 Lakh*,2018,Individual,"60,000 kms",First Owner,Diesel,Manual,Mileage22.95 kmpl,Engine1248 CC,Max Power74 bhp,Torque190Nm@ 1750-3000rpm,Wheel Size14,Seats5,
58,2015Tata Nano Twist XT,Tata,1 Lakh*,2015,Individual,"60,000 kms",First Owner,Petrol,Manual,Mileage25.4 kmpl,Engine624 CC,Max Power37.5 bhp,Torque51Nm@ 4000+/-500rpm,Wheel Size12,Seats4,
59,2015Tata Safari Storme EX,Tata,6.75 Lakh*,2015,Individual,"60,000 kms",Third Owner,Diesel,Manual,Mileage14.0 kmpl,Engine2179 CC,Max Power138.1 bhp,Torque320Nm@ 1700-2700rpm,Wheel Size16,Seats7,
60,2019Tata Nexon 1.2 Revotron XZ Plus,Tata,8.8 Lakh*,2019,Individual,"40,000 kms",First Owner,Petrol,Manual,Mileage17.0 kmpl,Engine1198 CC,Max Power108.5 bhp,Torque170Nm@ 1750-4000rpm,Wheel SizeN/A,Seats5,
61,2014Tata Indigo Classic Dicor,Tata,1.5 Lakh*,2014,Individual,"1,55,000 kms",Second Owner,Diesel,Manual,Mileage23.57 kmpl,Engine1396 CC,Max Power70 bhp,Torque140Nm@ 1800-3000rpm,Wheel SizeN/A,Seats5,
62,2013Tata New Safari DICOR 2.2 EX 4x2,Tata,4.85 Lakh*,2013,Dealer,"83,000 kms",First Owner,Diesel,Manual,Mileage11.57 kmpl,Engine2179 CC,Max Power138.1 bhp,Torque320Nm@ 1700-2700rpm,Wheel SizeN/A,Seats7,
63,2019Tata Nexon 1.2 Revotron XZ Plus,Tata,9 Lakh*,2019,Individual,"15,000 kms",First Owner,Petrol,Manual,Mileage17.0 kmpl,Engine1198 CC,Max Power108.5 bhp,Torque170Nm@ 1750-4000rpm,Wheel SizeN/A,Seats5,
64,2012Tata Indica Vista Quadrajet LS,Tata,1.2 Lakh*,2012,Individual,"1,20,000 kms",First Owner,Diesel,Manual,Mileage22.3 kmpl,Engine1248 CC,Max Power74 bhp,Torque190Nm@ 1750-3000rpm,Wheel SizeN/A,Seats5,
65,2009Tata New Safari DICOR 2.2 EX 4x2,Tata,1.65 Lakh*,2009,Individual,"70,000 kms",Second Owner,Diesel,Manual,Mileage11.57 kmpl,Engine2179 CC,Max Power138.1 bhp,Torque320Nm@ 1700-2700rpm,Wheel SizeN/A,Seats7,
66,2017Tata Zest Quadrajet 1.3 75PS XM,Tata,5.5 Lakh*,2017,Individual,"60,000 kms",First Owner,Diesel,Manual,Mileage22.95 kmpl,Engine1248 CC,Max Power74 bhp,Torque190Nm@ 1750-3000rpm,Wheel Size14,Seats5,
67,2011Tata Safari DICOR 2.2 EX 4x2,Tata,4.95 Lakh*,2011,Dealer,"52,890 kms",Second Owner,Diesel,Manual,Mileage13.93 kmpl,Engine2179 CC,Max Power138.03 bhp,Torque320Nm@ 1700-2700rpm,Wheel Size16,Seats7,
68,2017Tata Tiago 1.2 Revotron XZ,Tata,4.75 Lakh*,2017,Individual,"1,00,000 kms",First Owner,Petrol,Manual,Mileage23.84 kmpl,Engine1199 CC,Max Power84 bhp,Torque114Nm@ 3500rpm,Wheel SizeN/A,Seats5,
69,2010Tata Nano Cx,Tata,"60,000*",2010,Individual,"40,000 kms",First Owner,Petrol,Manual,Mileage26.0 kmpl,Engine624 CC,Max Power35 bhp,Torque48Nm@ 3000rpm,Wheel SizeN/A,Seats4,
70,2016Tata Safari Storme EX,Tata,7.5 Lakh*,2016,Individual,"75,000 kms",Second Owner,Diesel,Manual,Mileage14.1 kmpl,Engine2179 CC,Max Power147.94 bhp,Torque320Nm@ 1500-3000rpm,Wheel Size16,Seats7,
71,2006Tata Indigo LX,Tata,"80,000*",2006,Individual,"1,10,000 kms",First Owner,Diesel,Manual,Mileage16.1 kmpl,Engine1405 CC,Max Power70 bhp,"Torque13.5@ 2,500(kgm@ rpm)",Wheel SizeN/A,Seats5,
72,2010Tata Manza Aura Quadrajet,Tata,2.3 Lakh*,2010,Individual,"51,000 kms",First Owner,Diesel,Manual,Mileage18.8 kmpl,Engine1248 CC,Max Power90 bhp,Torque200Nm@ 1750-3000rpm,Wheel Size5.5J x 15,Seats5,
73,2012Tata Indica Vista Quadrajet LX,Tata,2 Lakh*,2012,Individual,"1,10,000 kms",First Owner,Diesel,Manual,Mileage22.3 kmpl,Engine1248 CC,Max Power74 bhp,Torque190Nm@ 1750-3000rpm,Wheel SizeN/A,Seats5,
74,2016Tata Safari Storme EX,Tata,7.5 Lakh*,2016,Individual,"1,20,000 kms",Second Owner,Diesel,Manual,Mileage14.1 kmpl,Engine2179 CC,Max Power147.94 bhp,Torque320Nm@ 1500-3000rpm,Wheel Size16,Seats7,
75,2015Tata Safari Storme EX,Tata,6.95 Lakh*,2015,Individual,"60,000 kms",Second Owner,Diesel,Manual,Mileage14.0 kmpl,Engine2179 CC,Max Power138.1 bhp,Torque320Nm@ 1700-2700rpm,Wheel Size16,Seats7,
76,2011Tata Manza Aura (ABS) Quadrajet BS IV,Tata,2.25 Lakh*,2011,Individual,"70,000 kms",First Owner,Diesel,Manual,Mileage21.12 kmpl,Engine1248 CC,Max Power88.8 bhp,Torque200Nm@ 1750-3000rpm,Wheel Size5.5J x 15,Seats5,
77,2018Tata Tigor 1.05 Revotorq XZ,Tata,5.8 Lakh*,2018,Individual,"50,000 kms",First Owner,Diesel,Manual,Mileage24.7 kmpl,Engine1047 CC,Max Power69 bhp,Torque140Nm@ 1800-3000rpm,Wheel SizeN/A,Seats5,
78,2017Tata Zest Quadrajet 1.3 75PS XM,Tata,4 Lakh*,2017,Individual,"80,000 kms",Second Owner,Diesel,Manual,Mileage22.95 kmpl,Engine1248 CC,Max Power74 bhp,Torque190Nm@ 1750-3000rpm,Wheel Size14,Seats5,
79,2009Tata Indica Vista Aqua 1.3 Quadrajet,Tata,1 Lakh*,2009,Individual,"90,000 kms",Second Owner,Diesel,Manual,Mileage18.0 kmpl,Engine1248 CC,Max Power75 bhp,Torque190 Nm at 1750  rpm ,Wheel SizeN/A,Seats5,
80,2014Tata Indigo CS eVX,Tata,3 Lakh*,2014,Individual,"70,000 kms",First Owner,Diesel,Manual,Mileage25.0 kmpl,Engine1396 CC,Max Power69.01 bhp,Torque140Nm@ 1800-3000rpm,Wheel SizeN/A,Seats5,
81,2005Tata Indica DLE,Tata,"50,000*",2005,Individual,"1,20,000 kms",Second Owner,Diesel,Manual,Variant -  DLE,Mileage13.5 kmpl,Engine1405 CC,Max Powernull bhp,TorqueN/A,Wheel SizeN/A,Seats5
82,2010Tata Manza Aqua Quadrajet BS IV,Tata,1.6 Lakh*,2010,Individual,"75,500 kms",Second Owner,Diesel,Manual,Mileage21.12 kmpl,Engine1248 CC,Max Power88.8 bhp,Torque200Nm@ 1750-3000rpm,Wheel Size5.5J x 15,Seats5,
83,2012Toyota Etios Liva GD,Toyota,3.8 Lakh*,2012,Dealer,"80,000 kms",First Owner,Diesel,Manual,Variant -  GD,Mileage23.59 kmpl,Engine1364 CC,Max Powernull bhp,TorqueN/A,Wheel SizeN/A,Seats5
84,2015Toyota Etios GD,Toyota,5.25 Lakh*,2015,Dealer,"74,100 kms",First Owner,Diesel,Manual,Mileage23.59 kmpl,Engine1364 CC,Max Power67.04 bhp,Torque170Nm@ 1800-2400rpm,Wheel SizeN/A,Seats5,
85,2014Toyota Etios GD,Toyota,5.5 Lakh*,2014,Dealer,"55,000 kms",First Owner,Diesel,Manual,Variant -  GD,Mileage23.59 kmpl,Engine1364 CC,Max Power67.05 bhp,Torque170Nm@ 1800-2400rpm,Wheel Size14,Seats5
86,2015Toyota Innova 2.5 GX (Diesel) 7 Seater,Toyota,9.5 Lakh*,2015,Dealer,"1,16,575 kms",First Owner,Diesel,Manual,Mileage12.99 kmpl,Engine2494 CC,Max Power100.6 bhp,Torque200Nm@ 1200-3600rpm,Wheel Size15,Seats7,
87,2014Toyota Innova 2.5 VX (Diesel) 8 Seater,Toyota,10.5 Lakh*,2014,Dealer,"67,000 kms",First Owner,Diesel,Manual,Mileage12.99 kmpl,Engine2494 CC,Max Power100 bhp,Torque200Nm@ 1400-3400rpm,Wheel SizeN/A,Seats8,
88,2013Toyota Innova 2.5 Z Diesel 7 Seater,Toyota,9.25 Lakh*,2013,Dealer,"82,200 kms",First Owner,Diesel,Manual,Mileage12.99 kmpl,Engine2494 CC,Max Power100.6 bhp,Torque200Nm@ 1400-3400rpm,Wheel SizeN/A,Seats7,
89,2011Toyota Innova 2.5 VX 7 STR BSIV,Toyota,6.9 Lakh*,2011,Dealer,"92,360 kms",Second Owner,Diesel,Manual,Mileage12.8 kmpl,Engine2494 CC,Max Power102 bhp,Torque20.4@ 1400-3400(kgm@ rpm),Wheel SizeN/A,Seats7,
90,2012Toyota Innova 2.5 G (Diesel) 8 Seater,Toyota,6.9 Lakh*,2012,Dealer,"1,33,000 kms",First Owner,Diesel,Manual,Mileage12.99 kmpl,Engine2494 CC,Max Power100 bhp,Torque200Nm@ 1400-3400rpm,Wheel SizeN/A,Seats8,
91,2012Toyota Fortuner 4x4 MT,Toyota,13.5 Lakh*,2012,Dealer,"1,25,000 kms",First Owner,Diesel,Manual,Mileage12.55 kmpl,Engine2982 CC,Max Power168.5 bhp,Torque343Nm@ 1400-3400rpm,Wheel SizeN/A,Seats7,
92,2012Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,6.4 Lakh*,2012,Individual,"2,50,000 kms",Fourth & Above Owner,Diesel,Manual,Mileage12.99 kmpl,Engine2494 CC,Max Power100 bhp,Torque200Nm@ 1400-3400rpm,Wheel SizeN/A,Seats7,
93,2017Toyota Fortuner 2.8 2WD AT BSIV,Toyota,26.5 Lakh*,2017,Dealer,"1,14,252 kms",First Owner,Diesel,Automatic,Mileage12.9 kmpl,Engine2755 CC,Max Power174.5 bhp,Torque450Nm@ 1600-2400rpm,Wheel SizeN/A,Seats7,
94,2009Toyota Fortuner 4x4 MT,Toyota,10.5 Lakh*,2009,Dealer,"1,70,000 kms",Second Owner,Diesel,Manual,Mileage12.55 kmpl,Engine2982 CC,Max Power168.5 bhp,Torque343Nm@ 1400-3400rpm,Wheel SizeN/A,Seats7,
95,2012Toyota Platinum Etios 1.5 G,Toyota,3.35 Lakh*,2012,Dealer,"92,000 kms",First Owner,Petrol,Manual,Mileage16.78 kmpl,Engine1496 CC,Max Power88.73 bhp,Torque132Nm@ 3000rpm,Wheel Size14,Seats5,
96,2011Toyota Corolla Altis D-4D G,Toyota,4.9 Lakh*,2011,Dealer,"99,201 kms",First Owner,Diesel,Manual,Mileage21.43 kmpl,Engine1364 CC,Max Power87.2 bhp,Torque205Nm@ 1800-2800rpm,Wheel SizeN/A,Seats5,
97,2014Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota,6.75 Lakh*,2014,Individual,"90,000 kms",Second Owner,Diesel,Manual,Mileage12.99 kmpl,Engine2494 CC,Max Power100.6 bhp,Torque200Nm@ 1200-3600rpm,Wheel Size15,Seats7,
98,2010Toyota Fortuner 3.0 Diesel,Toyota,11 Lakh*,2010,Individual,"1,10,000 kms",First Owner,Diesel,Manual,Mileage11.5 kmpl,Engine2982 CC,Max Power171 bhp,Torque343Nm@ 1400-3400rpm,Wheel SizeN/A,Seats7,
99,2015Toyota Etios Cross 1.2L G,Toyota,4.5 Lakh*,2015,Individual,"55,000 kms",First Owner,Petrol,Manual,Mileage18.16 kmpl,Engine1197 CC,Max Power78.8 bhp,Torque104Nm@ 3100rpm,Wheel SizeN/A,Seats5,
100,2014Toyota Innova 2.5 VX (Diesel) 8 Seater,Toyota,10 Lakh*,2014,Individual,"68,000 kms",First Owner,Diesel,Manual,Mileage12.99 kmpl,Engine2494 CC,Max Power100.6 bhp,Torque200Nm@ 1200-3600rpm,Wheel SizeN/A,Seats8,
