,model,brand,price,sold_year,seller,km_driven,owner_type,fuel,gear,mileage,engine,power,torque,wheel_size,seats,_
228,2013Hyundai EON D Lite Plus,hyundai,1.9 Lakh*,2013,Individual,"50,000 kms",Second Owner,Petrol,Manual,Mileage21.1 kmpl,Engine814 CC,Max Power55.2 bhp,Torque74.5Nm@ 4000rpm,Wheel Size12,Seats5,
229,2014Hyundai Grand i10 1.2 Kappa Sportz BSIV,hyundai,3.75 Lakh*,2014,Dealer,"46,370 kms",Second Owner,Petrol,Manual,Mileage18.9 kmpl,Engine1197 CC,Max Power81.86 bhp,Torque113.75nm@ 4000rpm,Wheel Size14,Seats5,
230,2014Hyundai Grand i10 CRDi Sportz,hyundai,3.85 Lakh*,2014,Dealer,"1,06,000 kms",Second Owner,Diesel,Manual,Mileage24.0 kmpl,Engine1120 CC,Max Power70 bhp,Torque160Nm@ 1500-2750rpm,Wheel Size14,Seats5,
231,2016Hyundai Verna 1.6 CRDi S,hyundai,6.9 Lakh*,2016,Dealer,"81,000 kms",First Owner,Diesel,Manual,Mileage23.9 kmpl,Engine1582 CC,Max Power126.2 bhp,Torque259.9Nm@ 1900-2750rpm,Wheel Size15,Seats5,
232,2018Hyundai Verna CRDi 1.6 SX,hyundai,10 Lakh*,2018,Individual,"70,000 kms",First Owner,Diesel,Manual,Mileage22.0 kmpl,Engine1582 CC,Max Power126.2 bhp,Torque259.87nm@ 1500-3000rpm,Wheel SizeN/A,Seats5,
233,2017Hyundai EON Magna,hyundai,2.85 Lakh*,2017,Dealer,"43,000 kms",First Owner,Petrol,Manual,Mileage22.0 kmpl,Engine814 CC,Max Power55 bhp,Torque76.5Nm@ 4000rpm,Wheel SizeN/A,Seats5,
234,2011Hyundai Verna 1.6 EX VTVT,hyundai,3.5 Lakh*,2011,Individual,"50,000 kms",Second Owner,Petrol,Manual,Mileage17.01 kmpl,Engine1591 CC,Max Power121.3 bhp,Torque154.9Nm@ 4200rpm,Wheel SizeN/A,Seats5,
235,2012Hyundai i10 Sportz 1.2,hyundai,2.75 Lakh*,2012,Dealer,"49,000 kms",First Owner,Petrol,Manual,Mileage20.36 kmpl,Engine1197 CC,Max Power78.9 bhp,Torque111.8Nm@ 4000rpm,Wheel SizeN/A,Seats5,
236,2015Hyundai Creta 1.4 CRDi S,hyundai,10 Lakh*,2015,Individual,"30,000 kms",First Owner,Diesel,Manual,Mileage21.38 kmpl,Engine1396 CC,Max Power88.7 bhp,Torque219.7Nm@ 1500-2750rpm,Wheel Size16,Seats5,
237,2011Hyundai i10 Magna 1.2 iTech SE,hyundai,1.95 Lakh*,2011,Individual,"70,000 kms",Second Owner,Petrol,Manual,Mileage20.36 kmpl,Engine1197 CC,Max Power78.9 bhp,Torque111.7Nm@ 4000rpm,Wheel SizeN/A,Seats5,
238,2018Hyundai EON Era Plus Sports Edition,hyundai,3.2 Lakh*,2018,Individual,"12,000 kms",First Owner,Petrol,Manual,Mileage21.1 kmpl,Engine814 CC,Max Power55.2 bhp,Torque74.5Nm@ 4000rpm,Wheel Size12,Seats5,
239,2015Hyundai Grand i10 SportZ Edition,hyundai,4.5 Lakh*,2015,Individual,"57,000 kms",First Owner,Petrol,Manual,Mileage18.9 kmpl,Engine1197 CC,Max Power81.86 bhp,Torque113.75Nm@ 4000rpm,Wheel SizeN/A,Seats5,
240,2013Hyundai i10 Magna 1.1,hyundai,2.85 Lakh*,2013,Dealer,"20,600 kms",First Owner,Petrol,Manual,Mileage19.81 kmpl,Engine1086 CC,Max Power68.05 bhp,Torque99.04Nm@ 4500rpm,Wheel Size13,Seats5,
241,2019Hyundai Elite i20 Petrol CVT Magna Executive,hyundai,6 Lakh*,2019,Individual,"5,000 kms",First Owner,Petrol,Automatic,Mileage17.4 kmpl,Engine1197 CC,Max Power81.86 bhp,Torque114.73nm@ 4000rpm,Wheel Size14,Seats5,
242,2019Hyundai Xcent 1.2 VTVT S,hyundai,5.75 Lakh*,2019,Individual,"15,000 kms",First Owner,Petrol,Manual,Mileage20.14 kmpl,Engine1197 CC,Max Power81.86 bhp,Torque113.75nm@ 4000rpm,Wheel Size14,Seats5,
243,2015Hyundai Verna S,hyundai,5.75 Lakh*,2015,Dealer,"65,000 kms",First Owner,Petrol,Manual,Mileage17.7 kmpl,Engine1497 CC,Max Power113.42 bhp,Torque144.15nm@ 4500rpm,Wheel SizeR15,Seats5,
244,2017Hyundai Grand i10 CRDi Sportz Celebration Edition,hyundai,4.98 Lakh*,2017,Individual,"60,000 kms",First Owner,Diesel,Manual,Mileage24.0 kmpl,Engine1120 CC,Max Power70 bhp,Torque160Nm@ 1500-2750rpm,Wheel Size14,Seats5,
245,2015Hyundai i20 Asta 1.2,hyundai,5.5 Lakh*,2015,Individual,"1,20,000 kms",Second Owner,Petrol,Manual,Mileage18.6 kmpl,Engine1197 CC,Max Power81.83 bhp,Torque114.7Nm@ 4000rpm,Wheel SizeN/A,Seats5,
246,2014Hyundai i20 Sportz 1.4 CRDi,hyundai,4.5 Lakh*,2014,Individual,"1,10,000 kms",Second Owner,Diesel,Manual,Variant -  Sportz 1.4 CRDi,Mileage22.54 kmpl,Engine1396 CC,Max Power88.73 bhp,Torque219.7Nm@ 1500-2750rpm,Wheel Size14,Seats5
247,2018Volkswagen Ameo 1.0 MPI Comfortline,Volkswagen,5.59 Lakh*,2018,Trustmark Dealer,"25,511 kms",First Owner,Petrol,Manual,Mileage19.44 kmpl,Engine999 CC,Max Power75 bhp,Torque95Nm@ 3000-4300rpm,Wheel Size15,Seats5,
248,2013Volkswagen Vento 1.5 TDI Comfortline,Volkswagen,4.25 Lakh*,2013,Dealer,"75,000 kms",First Owner,Diesel,Manual,Mileage20.34 kmpl,Engine1498 CC,Max Power103.2 bhp,Torque250Nm@ 1500-2500rpm,Wheel SizeN/A,Seats5,
